Wavelength (nm), QE (%)
4.450000000000000000e+02,8.420154359880845618e+01
4.460000000000000000e+02,8.428560101398875304e+01
4.470000000000000000e+02,8.436965842916904990e+01
4.480000000000000000e+02,8.445278167071373332e+01
4.490000000000000000e+02,8.453083764790048349e+01
4.500000000000000000e+02,8.460889362508724787e+01
4.510000000000000000e+02,8.468694960227399804e+01
4.520000000000000000e+02,8.476500557946076242e+01
4.530000000000000000e+02,8.484306155664751259e+01
4.540000000000000000e+02,8.492425639727407827e+01
4.550000000000000000e+02,8.502031816731123115e+01
4.560000000000000000e+02,8.511637993734836982e+01
4.570000000000000000e+02,8.521244170738550849e+01
4.580000000000000000e+02,8.530850347742266138e+01
4.590000000000000000e+02,8.540456524745980005e+01
4.600000000000000000e+02,8.549946416889412149e+01
4.610000000000000000e+02,8.558952351388961688e+01
4.620000000000000000e+02,8.567958285888509806e+01
4.630000000000000000e+02,8.576964220388059346e+01
4.640000000000000000e+02,8.585970154887608885e+01
4.650000000000000000e+02,8.594976089387158424e+01
4.660000000000000000e+02,8.604173704828178870e+01
4.670000000000000000e+02,8.614080021177711899e+01
4.680000000000000000e+02,8.623986337527244928e+01
4.690000000000000000e+02,8.633892653876777956e+01
4.700000000000000000e+02,8.643514213906952648e+01
4.710000000000000000e+02,8.652160026724237696e+01
4.720000000000000000e+02,8.660805839541524165e+01
4.730000000000000000e+02,8.669451652358810634e+01
4.740000000000000000e+02,8.678097465176095682e+01
4.750000000000000000e+02,8.686743277993382151e+01
4.760000000000000000e+02,8.695389090810668620e+01
4.770000000000000000e+02,8.704034903627953668e+01
4.780000000000000000e+02,8.712680716445240137e+01
4.790000000000000000e+02,8.721326529262526606e+01
4.800000000000000000e+02,8.730374354706586359e+01
4.810000000000000000e+02,8.740580823408791389e+01
4.820000000000000000e+02,8.750787292110996418e+01
4.830000000000000000e+02,8.760993760813201447e+01
4.840000000000000000e+02,8.771200229515407898e+01
4.850000000000000000e+02,8.781406698217612927e+01
4.860000000000000000e+02,8.790614813452036458e+01
4.870000000000000000e+02,8.797220271819675474e+01
4.880000000000000000e+02,8.803825730187313070e+01
4.890000000000000000e+02,8.810431188554952087e+01
4.900000000000000000e+02,8.817036646922591103e+01
4.910000000000000000e+02,8.823642105290228699e+01
4.920000000000000000e+02,8.829893079729457384e+01
4.930000000000000000e+02,8.835298596291293904e+01
4.940000000000000000e+02,8.840704112853130425e+01
4.950000000000000000e+02,8.846109629414966946e+01
4.960000000000000000e+02,8.851515145976803467e+01
4.970000000000000000e+02,8.856920662538638567e+01
4.980000000000000000e+02,8.861574958567562987e+01
4.990000000000000000e+02,8.864581182974978901e+01
5.000000000000000000e+02,8.867587407382393394e+01
5.010000000000000000e+02,8.870593631789809308e+01
5.020000000000000000e+02,8.873599856197223801e+01
5.030000000000000000e+02,8.876606080604639715e+01
5.040000000000000000e+02,8.879216758792884434e+01
5.050000000000000000e+02,8.881023632868490836e+01
5.060000000000000000e+02,8.882830506944098659e+01
5.070000000000000000e+02,8.884637381019705060e+01
5.080000000000000000e+02,8.886444255095312883e+01
5.090000000000000000e+02,8.888251129170919285e+01
5.100000000000000000e+02,8.890680506343535683e+01
5.110000000000000000e+02,8.894286479680398827e+01
5.120000000000000000e+02,8.897892453017261971e+01
5.130000000000000000e+02,8.901498426354125115e+01
5.140000000000000000e+02,8.905104399690989680e+01
5.150000000000000000e+02,8.908710373027852825e+01
5.160000000000000000e+02,8.911663356620215382e+01
5.170000000000000000e+02,8.913470230665626559e+01
5.180000000000000000e+02,8.915277104711037737e+01
5.190000000000000000e+02,8.917083978756448914e+01
5.200000000000000000e+02,8.918890852801860092e+01
5.210000000000000000e+02,8.920697726847269848e+01
5.220000000000000000e+02,8.921822620083490563e+01
5.230000000000000000e+02,8.921830838439819900e+01
5.240000000000000000e+02,8.921839056796149237e+01
5.250000000000000000e+02,8.921847275152477152e+01
5.260000000000000000e+02,8.921855493508806489e+01
5.270000000000000000e+02,8.921863711865134405e+01
5.280000000000000000e+02,8.922818377147881108e+01
5.290000000000000000e+02,8.925224901686681278e+01
5.300000000000000000e+02,8.927631426225482869e+01
5.310000000000000000e+02,8.930037950764283039e+01
5.320000000000000000e+02,8.932444475303083209e+01
5.330000000000000000e+02,8.934850999841884800e+01
5.340000000000000000e+02,8.938243756574705401e+01
5.350000000000000000e+02,8.943049376079537183e+01
5.360000000000000000e+02,8.947854995584368965e+01
5.370000000000000000e+02,8.952660615089200746e+01
5.380000000000000000e+02,8.957466234594032528e+01
5.390000000000000000e+02,8.962271854098865731e+01
5.400000000000000000e+02,8.964764800485747287e+01
5.410000000000000000e+02,8.964173565315186920e+01
5.420000000000000000e+02,8.963582330144626553e+01
5.430000000000000000e+02,8.962991094974066186e+01
5.440000000000000000e+02,8.962399859803505819e+01
5.450000000000000000e+02,8.961808624632946874e+01
